都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,title,名称_カナ,種別,住所,方書,lat,lng,アクセス方法,駐車場情報,電話番号,内線番号,FAX番号,法人番号,団体名,認可等年月日,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,URL,備考
270008,,大阪府,,八木こども園,ヤギコドモエン,,大阪府岸和田市今木町397-1,,34.464897,135.417191,,,072-445-2472,,,,(福)阪南福祉事業会,,,,,,,,,,
270008,,大阪府,,認定こども園　五風会保育園,ニンテイコドモエン　ゴフウカイホイクエン,,大阪府岸和田市岸城町18-11,,34.45713,135.370743,,,072-431-3449,,,,(福)五風会,,,,,,,,,,
270008,,大阪府,,山直南こども園,ヤマダイミナミコドモエン,,大阪府岸和田市山直中町1012-1,,34.439068,135.434418,,,072-445-0482,,,,(福)阪南福祉事業会,,,,,,,,,,
270008,,大阪府,,星光こども園,セイコウコドモエン,,大阪府岸和田市荒木町1-28-17,,34.4701,135.3983,,,072-443-4819,,,,(福)星光保育園,,,,,,,,,,
270008,,大阪府,,はちまん認定こども園,ハチマンニンテイコドモエン,,大阪府岸和田市八幡町13-85,,34.481178,135.388062,,,072-438-4541,,,,(福)森の子会,,,,,,,,,,
270008,,大阪府,,この花こども園,コノハナコドモエン,,大阪府岸和田市春木旭町3-16,,34.475307,135.392212,,,072-444-5087,,,,(福)この花保育園,,,,,,,,,,
270008,,大阪府,,認定こども園　久米田保育園,ニンテイコドモエン　クメダホイクエン,,大阪府岸和田市下池田町1-22-10,,34.466839,135.404404,,,072-443-1056,,,,(福)久米田保育園,,,,,,,,,,
270008,,大阪府,,認定こども園　やまだい保育園,ニンテイコドモエン　ヤマダイホイクエン,,大阪府岸和田市今木町160,,34.465618,135.420685,,,072-444-6857,,,,(福)やまだい福祉会,,,,,,,,,,
270008,,大阪府,,認定こども園　光明保育園,ニンテイコドモエン　コウミョウホイクエン,,大阪府岸和田市尾生町560-1,,34.442219,135.410522,,,072-443-6410,,,,(福)光明福祉会,,,,,,,,,,
270008,,大阪府,,認定こども園　光明保育園　分園はな,コウミョウホイクエン　ブンエンハナ,,大阪府岸和田市尾生町1186-1,,34.442219,135.410522,,,072-441-1438,,,,(福)光明福祉会,,,,,,,,,,
270008,,大阪府,,天神山こども園,テンジンヤマコドモエン,,大阪府岸和田市天神山町2-5-1,,34.497761,135.415558,,,072-426-6031,,,,(福)千喜利会,,,,,,,,,,
270008,,大阪府,,東岸和田こども園,ヒガシキシワダコドモエン,,大阪府岸和田市土生町5-1-34,,34.742268,135.564438,,,072-426-6000,,,,(福)恵壽会,,,,,,,,,,
270008,,大阪府,,認定こども園　ピープル久米田チャイルドスクール,ニンテイコドモエン　ピープルクメダチャイルドスクール,,大阪府岸和田市池尻町693-2,,34.460907,135.42009,,,072-448-6236,,,,(福)光生会,,,,,,,,,,
270008,,大阪府,,ピープルブランチスクール大空,ピープルブランチスクールオオゾラ,,大阪府岸和田市池尻町695-7,,34.457561,135.411194,,,072-445-3300,,,,(福)光生会,,,,,,,,,,
270008,,大阪府,,認定こども園　ピープル八木南チャイルドスクール,ニンテイコドモエン　ピープルヤギミナミチャイルドスクール,,大阪府岸和田市小松里町1119,,34.459278,135.406143,,,072-441-0506,,,,(福)光生会,,,,,,,,,,
270008,,大阪府,,ピープルブランチスクール小松里,ピープルブランチスクールコマツリ,,大阪府岸和田市小松里町911-1,,34.462009,135.40387,,,072-448-6617,,,,(福)光生会,,,,,,,,,,
270008,,大阪府,,東光こども園,トウコウコドモエン,,大阪府岸和田市藤井町2-10-20,,34.463955,135.384628,,,072-429-1050,,,,(福)和秀会,,,,,,,,,,
270008,,大阪府,,認定こども園　ピープル大芝チャイルドスクール,ニンテイコドモエン　ピープルオオシバチャイルドスクール,,大阪府岸和田市磯上町3-14-12,,34.489349,135.385773,,,072-438-3571,,,,(福)光生会,,,,,,,,,,
270008,,大阪府,,認定こども園　Ｄｏｌｃｅ　Ｂａｍｂｉｎｉ,ニンテイコドモエン　ドルチェバンビーニ,,大阪府岸和田市荒木町2-4-36,,34.475475,135.400421,,,072-445-2671,,,,(福)真友真会,,,,,,,,,,
270008,,大阪府,,認定こども園　春木カトリック幼稚園,ニンテイコドモエン　ハルキカトリックヨウチエン,,大阪府岸和田市吉井町1-6-15,,34.481487,135.396118,,,072-443-5225,,,,(学)ザビエル学園,,,,,,,,,,
270008,,大阪府,,池田市立なかよしこども園,イケダシリツナカヨシコドモエン,,大阪府池田市石橋4-6-1,,34.802982,135.445999,,,072-761-6751,,,,池田市,,,,,,,,,,
270008,,大阪府,,池田市立ひかりこども園,イケダシリツヒカリコドモエン,,大阪府池田市神田2-4-1,,34.810757,135.42511,,,072-752-0414,,,,池田市,,,,,,,,,,
270008,,大阪府,,宣真認定こども園,センシンニンテイコドモエン,,大阪府池田市天神1-1-41,,34.810513,135.438599,,,072-762-4500,,,,(学)宣真学園,,,,,,,,,,
270008,,大阪府,,ひめむろこども園,ヒメムロコドモエン,,大阪府池田市姫室町10-1,,34.81802,135.422409,,,072-754-0084,,,,(学)岡辻学園,,,,,,,,,,
270008,,大阪府,,亀之森幼稚園・かめのもり乳児園,カメノモリヨウチエンカメノモリニュウジエン,,大阪府池田市住吉2-3-1,,34.802193,135.439926,,,072-762-1813,,,,(学)亀之森住吉学園,,,,,,,,,,
270008,,大阪府,,さつきこども園,サツキコドモエン,,大阪府池田市城南2-4-20,,34.819,135.430527,,,072-751-6830,,,,(福)心育会,,,,,,,,,,
270008,,大阪府,,池田旭丘幼稚園・いけだあさひがおか乳児園,イケダアサヒガオカヨウチエンイケダアサヒガオカニュウジエン,,大阪府池田市旭丘1-9-21,,34.822041,135.446686,,,072-751-8152,,,,(学)森上学園,,,,,,,,,,
