"カテゴリ","title","所在及び住居表示","令和4年価格及び対前年変動率","地積","形状","前面道路状況","利用状況","周辺の土地の利用状況","交通施設","用途地域（建ぺい率／容積率）","防火・準防火地域","令和3年価格及び対前年変動率","令和2年価格及び対前年変動率","平成31年価格及び対前年変動率","平成30年価格及び対前年変動率","平成29年価格及び対前年変動率","平成28年価格及び対前年変動率","平成27年価格及び対前年変動率","平成26年価格及び対前年変動率","平成25年価格及び対前年変動率","lng","lat","分類"
"地価公示(基準日 R4.1.1)","阿倍野-07","大阪市阿倍野区阪南町６－１２－１０","329,000円/㎡、0.6%","117㎡","1:3.5","南 5.5m 市道","住宅　木造2F","中小規模一般住宅が建ち並ぶ既成住宅地域","西田辺 470m","第一種住居地域 (80/200)","準防火地域","327,000円/㎡、0.0%","327,000円/㎡、0.0％","327,000円/㎡、0.3％","326,000円/㎡、0.9％","323,000円/㎡、1.3％","319,000円/㎡ 1.6％","314,000円/㎡ 1.9%","308,000円/㎡ 2.3%","301,000円/㎡ 1.0%","135.512703107299","34.6192670402429","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","平野-05","大阪市平野区流町３－５－７","220,000円/㎡、0.5%","81㎡","1:3","北 6m 市道","住宅　木造2F","中小規模の一般住宅が建ち並ぶ住宅地域","ＯｓａｋａＭｅｔｒｏ平野 550m","第一種住居地域 (80/200)","準防火地域","219,000円/㎡、-0.5%","220,000円/㎡、0.5％","219,000円/㎡、0.5％","218,000円/㎡、0.5％","217,000円/㎡、0.5％","216,000円/㎡ 0.5％","215,000円/㎡ 0.0%","215,000円/㎡ 0.0%","215,000円/㎡ -0.9%","135.553095423312","34.6190535835053","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","住吉-14","大阪市住吉区万代東２－２－９","243,000円/㎡、0.4%","249㎡","1:1.5","南西 5.5m 市道","住宅　木造2F","中規模一般住宅が多い比較的閑静な住宅地域","西田辺 1100m","第一種住居地域 (80/200)","準防火地域","242,000円/㎡、-0.4%","243,000円/㎡、0.4％","242,000円/㎡、0.4％","241,000円/㎡、0.0％","241,000円/㎡、0.0％","241,000円/㎡ 0.0％","241,000円/㎡ 0.0%","241,000円/㎡ 0.0%","241,000円/㎡ -0.4%","135.506308809532","34.6184540360794","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","住之江-04","大阪市住之江区中加賀屋２－１６－９","222,000円/㎡、0.0%","139㎡","1:2","南 6m 市道","住宅　木造2F","一般住宅、共同住宅等が混在する住宅地域","北加賀屋 490m","第一種住居地域 (80/200)","準防火地域","222,000円/㎡、0.0%","222,000円/㎡、0.5％","221,000円/㎡、0.0％","221,000円/㎡、0.0％","221,000円/㎡、0.0％","221,000円/㎡ 0.0％","221,000円/㎡ 0.0%","221,000円/㎡ -0.5%","222,000円/㎡ -0.9%","135.478886677934","34.6181037082746","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","東住吉-06","大阪市東住吉区南田辺５－１２－４","266,000円/㎡、0.4%","278㎡","1:1.5","北 4.5m 市道","住宅　鉄筋コンクリート造2F1BF","中規模一般住宅、共同住宅等の多い住宅地域","鶴ケ丘 750m","第二種中高層住居専用地域 (60/200)","準防火地域","265,000円/㎡、0.0%","265,000円/㎡、1.5％","261,000円/㎡、0.8％","259,000円/㎡、0.4％","258,000円/㎡、0.8％","256,000円/㎡ 1.2％","253,000円/㎡ 1.2%","250,000円/㎡ 0.0%","250,000円/㎡ -0.8%","135.523248933419","34.6172238285514","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","都島-05","大阪市都島区都島中通２－１１－１７","296,000円/㎡、2.1%","166㎡","1:1.5","南 5.5m 市道","住宅　木造2F","一般住宅のほかにマンションが見られる住宅地域","京橋 1000m","第一種住居地域 (80/300)","準防火地域","290,000円/㎡、1.0%","287,000円/㎡、1.4％","283,000円/㎡、1.4％","279,000円/㎡、1.5％","275,000円/㎡、0.7％","273,000円/㎡ 1.5％","269,000円/㎡ 2.3%","263,000円/㎡ 1.2%","260,000円/㎡ 0.0%","135.532961292408","34.7040068770508","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","都島-06","大阪市都島区中野町４－１０－１０","312,000円/㎡、2.3%","125㎡","台形1:1.5","北 8m 市道","住宅　木造2F","一般住宅、アパート、店舗等が混在する住宅地域","桜ノ宮 250m","第二種中高層住居専用地域 (60/300)","準防火地域","305,000円/㎡、1.3%","301,000円/㎡、2.0％","295,000円/㎡、1.7％","290,000円/㎡、1.8％","285,000円/㎡、0.7％","283,000円/㎡ 1.4％","279,000円/㎡ 2.2%","273,000円/㎡ 1.1%","270,000円/㎡ 0.0%","135.523382980033","34.7039725975571","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","鶴見-10","大阪市鶴見区横堤５－１２－３３","261,000円/㎡、0.4%","63㎡","1:2.5","東 15m 市道","住宅　木造3F","住宅、店舗兼住宅、店舗等が混在する住宅地域","横堤 320m","第二種住居地域 (80/300)","準防火地域","260,000円/㎡、0.0%","260,000円/㎡、0.8％","258,000円/㎡、0.8％","256,000円/㎡、0.0％","256,000円/㎡、0.0％","256,000円/㎡ 0.0％","256,000円/㎡ 0.0%","256,000円/㎡ 0.0%","256,000円/㎡ -","135.574417418585","34.7067817883149","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","中央5-25","大阪市中央区心斎橋筋１－４－２９","2,140,000円/㎡、-4.9%","867㎡","不整形1:2","北 7.8m 市道","店舗　鉄骨造6F1BF","中高層の店舗ビル等が建ち並ぶ商業地域","心斎橋 60m","商業地域（80/500)","防火地域","2,250,000円/㎡、-14.4%","2,630,000円/㎡、19.5％","2,200,000円/㎡、14％","1,930,000円/㎡、14.2％","1,690,000円/㎡、12.7％","1,500,000円/㎡ -％","-","-","-","135.501951982034","34.6732989577111","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","中央5-14","大阪市中央区高麗橋１－８－１３","2,750,000円/㎡、-1.1%","2972㎡","1:2","西 21.8m 府道 四方路","店舗兼事務所　鉄骨鉄筋コンクリート造11F3BF","中高層の事務所、店舗ビル等が建ち並ぶ商業地域","北浜 近接","商業地域 (80/800)","防火地域","2,780,000円/㎡、0.0%","2,780,000円/㎡、20.9％","2,300,000円/㎡、11.1％","2,070,000円/㎡、8.9％","1,900,000円/㎡、11.8％","1,700,000円/㎡ 12.6％","1,510,000円/㎡ 4.9%","1,440,000円/㎡ 7.5%","1,340,000円/㎡ -0.7%","135.507104703801","34.6897407005414","地価公示(基準日 R4.1.1)"
